run;family;residues_per_chain;concentration_chains_nm2;preattached_fraction;cutoff_A;frames_analysed;frames_total;first_frame;pairs_intra;pairs_inter;pairs_dropped_both_pinned;hits_intra;hits_inter;inter_share_of_hits;hits_per_frame_intra;hits_per_frame_inter;p_pair_intra;p_pair_inter;p_intra_over_p_inter;pairs_ever_in_contact_intra;pairs_ever_in_contact_inter;closest_intra_A;closest_inter_A
monoblock-pre-noxl-c040-f10;monoblock;720;0,04;0,1;10,0;1429;2857;1428;1909;30406;325;1070;2578;0,7067;0,75;1,8;0,00039;6e-05;6,5;512;2019;5,6;5,68
monoblock-pre-noxl-c040-f20;monoblock;720;0,04;0,2;10,0;1429;2857;1428;1851;29514;1275;1563;3317;0,6797;1,09;2,32;0,00059;8e-05;7,375;596;2302;5,77;5,61
monoblock-pre-noxl-c040-f30;monoblock;720;0,04;0,3;10,0;1429;2857;1428;1755;27959;2926;1587;3189;0,6677;1,11;2,23;0,00063;8e-05;7,875;547;2050;5,77;5,8
monoblock-pre-noxl-c050-f10;monoblock;720;0,050003;0,1;10,0;1429;2857;1428;1906;30409;325;1016;3211;0,7596;0,71;2,25;0,00037;7e-05;5,2857;474;2507;5,64;5,68
monoblock-pre-noxl-c050-f20;monoblock;720;0,050003;0,2;10,0;1429;2857;1428;1844;29521;1275;1252;3473;0,735;0,88;2,43;0,00048;8e-05;6,0;467;2329;5,86;5,59
monoblock-pre-noxl-c050-f30;monoblock;720;0,050003;0,3;10,0;1429;2857;1428;1762;27952;2926;1991;4419;0,6894;1,39;3,09;0,00079;0,00011;7,1818;528;2443;5,6;5,51
tetrablock-pre-noxl-c040-f10;tetrablock;1040;0,04;0,1;10,0;1429;2857;1428;1906;30409;325;831;1983;0,7047;0,58;1,39;0,00031;5e-05;6,2;382;1563;5,55;5,8
tetrablock-pre-noxl-c040-f20;tetrablock;1040;0,04;0,2;10,0;1429;2857;1428;1849;29516;1275;1124;2402;0,6812;0,79;1,68;0,00043;6e-05;7,1667;469;1612;5,91;5,77
tetrablock-pre-noxl-c040-f30;tetrablock;1040;0,04;0,3;10,0;1429;2857;1428;1749;27965;2926;1341;2720;0,6698;0,94;1,9;0,00054;7e-05;7,7143;428;1499;5,81;5,73
tetrablock-pre-noxl-c050-f10;tetrablock;1040;0,050003;0,1;10,0;1429;2857;1428;1908;30407;325;884;2750;0,7567;0,62;1,92;0,00032;6e-05;5,3333;398;1959;5,81;5,58
tetrablock-pre-noxl-c050-f20;tetrablock;1040;0,050003;0,2;10,0;1429;2857;1428;1844;29521;1275;1058;3059;0,743;0,74;2,14;0,0004;7e-05;5,7143;432;1802;5,79;5,63
tetrablock-pre-noxl-c050-f30;tetrablock;1040;0,050003;0,3;10,0;1429;2857;1428;1756;27958;2926;1514;3523;0,6994;1,06;2,47;0,0006;9e-05;6,6667;412;1791;5,86;5,8
triblock-32-pre-noxl-c040-f10;triblock-32;880;0,04;0,1;10,0;1429;2857;1428;1906;30409;325;945;2077;0,6873;0,66;1,45;0,00035;5e-05;7,0;448;1729;5,98;5,76
triblock-32-pre-noxl-c040-f20;triblock-32;880;0,04;0,2;10,0;1429;2857;1428;1856;29509;1275;1295;3225;0,7135;0,91;2,26;0,00049;8e-05;6,125;550;2196;5,77;5,58
triblock-32-pre-noxl-c040-f30;triblock-32;880;0,04;0,3;10,0;1429;2857;1428;1743;27971;2926;1218;2474;0,6701;0,85;1,73;0,00049;6e-05;8,1667;414;1581;5,73;5,72
triblock-32-pre-noxl-c050-f10;triblock-32;880;0,050003;0,1;10,0;1429;2857;1428;1906;30409;325;907;2342;0,7208;0,63;1,64;0,00033;5e-05;6,6;423;1861;5,87;5,7
triblock-32-pre-noxl-c050-f20;triblock-32;880;0,050003;0,2;10,0;1429;2857;1428;1856;29509;1275;1347;3507;0,7225;0,94;2,45;0,00051;8e-05;6,375;492;2248;5,82;5,57
triblock-32-pre-noxl-c050-f30;triblock-32;880;0,050003;0,3;10,0;1429;2857;1428;1762;27952;2926;1444;3516;0,7089;1,01;2,46;0,00057;9e-05;6,3333;440;1950;5,46;5,76
triblock-64-pre-noxl-c040-f10;triblock-64;1040;0,04;0,1;10,0;1429;2857;1428;1905;30410;325;1001;2071;0,6742;0,7;1,45;0,00037;5e-05;7,4;462;1654;5,94;5,77
triblock-64-pre-noxl-c040-f20;triblock-64;1040;0,04;0,2;10,0;1429;2857;1428;1847;29518;1275;1151;2251;0,6617;0,81;1,58;0,00044;5e-05;8,8;474;1541;5,69;5,73
triblock-64-pre-noxl-c040-f30;triblock-64;1040;0,04;0,3;10,0;1429;2857;1428;1755;27959;2926;1500;3141;0,6768;1,05;2,2;0,0006;8e-05;7,5;489;1817;5,75;5,68
triblock-64-pre-noxl-c050-f10;triblock-64;1040;0,050003;0,1;10,0;1429;2857;1428;1907;30408;325;917;2473;0,7295;0,64;1,73;0,00034;6e-05;5,6667;436;1853;5,97;5,61
triblock-64-pre-noxl-c050-f20;triblock-64;1040;0,050003;0,2;10,0;1429;2857;1428;1851;29514;1275;1407;3853;0,7325;0,98;2,7;0,00053;9e-05;5,8889;508;2366;5,64;5,46
triblock-64-pre-noxl-c050-f30;triblock-64;1040;0,050003;0,3;10,0;1429;2857;1428;1742;27972;2926;1631;3679;0,6928;1,14;2,57;0,00066;9e-05;7,3333;458;2005;5,84;5,56
