run;family;residues_per_chain;concentration_chains_nm2;preattached_fraction;cutoff_A;frames_analysed;frames_total;first_frame;pairs_intra;pairs_inter;pairs_dropped_both_pinned;hits_intra;hits_inter;inter_share_of_hits;hits_per_frame_intra;hits_per_frame_inter;p_pair_intra;p_pair_inter;p_intra_over_p_inter;pairs_ever_in_contact_intra;pairs_ever_in_contact_inter;closest_intra_A;closest_inter_A
monoblock-pre-noxl-c040-f10;monoblock;720;0,04;0,1;10,0;803;2857;2054;1909;30406;325;585;1453;0,713;0,73;1,81;0,00038;6e-05;6,3333;365;1215;5,96;5,68
monoblock-pre-noxl-c040-f20;monoblock;720;0,04;0,2;10,0;1863;2857;994;1851;29514;1275;2002;4316;0,6831;1,07;2,32;0,00058;8e-05;7,25;657;2817;5,77;5,61
monoblock-pre-noxl-c040-f30;monoblock;720;0,04;0,3;10,0;2806;2857;51;1755;27959;2926;3133;6323;0,6687;1,12;2,25;0,00064;8e-05;8,0;661;3315;5,74;5,72
monoblock-pre-noxl-c050-f10;monoblock;720;0,050003;0,1;10,0;674;2857;2183;1906;30409;325;491;1522;0,7561;0,73;2,26;0,00038;7e-05;5,4286;303;1310;5,93;5,92
monoblock-pre-noxl-c050-f20;monoblock;720;0,050003;0,2;10,0;1837;2857;1020;1844;29521;1275;1609;4458;0,7348;0,88;2,43;0,00047;8e-05;5,875;523;2851;5,86;5,59
monoblock-pre-noxl-c050-f30;monoblock;720;0,050003;0,3;10,0;1578;2857;1279;1762;27952;2926;2186;4851;0,6894;1,39;3,07;0,00079;0,00011;7,1818;547;2596;5,6;5,51
tetrablock-pre-noxl-c040-f10;tetrablock;1040;0,04;0,1;10,0;1320;2857;1537;1906;30409;325;761;1821;0,7053;0,58;1,38;0,0003;5e-05;6,0;366;1454;5,55;5,8
tetrablock-pre-noxl-c040-f20;tetrablock;1040;0,04;0,2;10,0;1558;1800;234;1849;29516;1275;1244;2456;0,6638;0,8;1,58;0,00043;5e-05;8,6;491;1631;5,73;5,55
tetrablock-pre-noxl-c040-f30;tetrablock;1040;0,04;0,3;10,0;2005;2857;852;1749;27965;2926;1918;3822;0,6659;0,96;1,91;0,00055;7e-05;7,8571;498;1907;5,8;5,73
tetrablock-pre-noxl-c050-f10;tetrablock;1040;0,050003;0,1;10,0;299;2857;2558;1908;30407;325;206;532;0,7209;0,69;1,78;0,00036;6e-05;6,0;140;471;5,9;5,77
tetrablock-pre-noxl-c050-f20;tetrablock;1040;0,050003;0,2;10,0;2082;2857;775;1844;29521;1275;1571;4366;0,7354;0,75;2,1;0,00041;7e-05;5,8571;505;2377;5,79;5,63
tetrablock-pre-noxl-c050-f30;tetrablock;1040;0,050003;0,3;10,0;1088;2857;1769;1756;27958;2926;1143;2695;0,7022;1,05;2,48;0,0006;9e-05;6,6667;363;1487;5,86;5,8
triblock-32-pre-noxl-c040-f10;triblock-32;880;0,04;0,1;10,0;971;2857;1886;1906;30409;325;656;1376;0,6772;0,68;1,42;0,00035;5e-05;7,0;368;1189;5,98;5,76
triblock-32-pre-noxl-c040-f20;triblock-32;880;0,04;0,2;10,0;2715;2857;142;1856;29509;1275;2512;6036;0,7061;0,93;2,22;0,0005;8e-05;6,25;731;3578;5,58;5,58
triblock-32-pre-noxl-c040-f30;triblock-32;880;0,04;0,3;10,0;2470;2857;387;1743;27971;2926;2106;4268;0,6696;0,85;1,73;0,00049;6e-05;8,1667;518;2366;5,73;5,62
triblock-32-pre-noxl-c050-f10;triblock-32;880;0,050003;0,1;10,0;1488;2857;1369;1906;30409;325;949;2441;0,7201;0,64;1,64;0,00033;5e-05;6,6;432;1928;5,87;5,7
triblock-32-pre-noxl-c050-f20;triblock-32;880;0,050003;0,2;10,0;687;2857;2170;1856;29509;1275;643;1693;0,7247;0,94;2,46;0,0005;8e-05;6,25;323;1237;5,95;5,57
triblock-32-pre-noxl-c050-f30;triblock-32;880;0,050003;0,3;10,0;2857;2857;0;1762;27952;2926;3001;6992;0,6997;1,05;2,45;0,0006;9e-05;6,6667;576;3114;5,46;5,7
triblock-64-pre-noxl-c040-f10;triblock-64;1040;0,04;0,1;10,0;1811;2857;1046;1905;30410;325;1287;2583;0,6674;0,71;1,43;0,00037;5e-05;7,4;529;2027;5,94;5,69
triblock-64-pre-noxl-c040-f20;triblock-64;1040;0,04;0,2;10,0;2780;2857;77;1847;29518;1275;2326;4344;0,6513;0,84;1,56;0,00045;5e-05;9,0;612;2567;5,69;5,73
triblock-64-pre-noxl-c040-f30;triblock-64;1040;0,04;0,3;10,0;2857;2857;0;1755;27959;2926;2955;6043;0,6716;1,03;2,12;0,00059;8e-05;7,375;646;2861;5,75;5,47
triblock-64-pre-noxl-c050-f10;triblock-64;1040;0,050003;0,1;10,0;2535;2857;322;1907;30408;325;1640;4342;0,7258;0,65;1,71;0,00034;6e-05;5,6667;570;2958;5,75;5,61
triblock-64-pre-noxl-c050-f20;triblock-64;1040;0,050003;0,2;10,0;2651;2857;206;1851;29514;1275;2582;6979;0,7299;0,97;2,63;0,00053;9e-05;5,8889;644;3607;5,64;5,46
triblock-64-pre-noxl-c050-f30;triblock-64;1040;0,050003;0,3;10,0;1824;2857;1033;1742;27972;2926;2095;4700;0,6917;1,15;2,58;0,00066;9e-05;7,3333;511;2361;5,84;5,56
