run;family;residues_per_chain;concentration_chains_nm2;preattached_fraction;cutoff_A;frames_analysed;frames_total;first_frame;pairs_intra;pairs_inter;pairs_dropped_both_pinned;hits_intra;hits_inter;inter_share_of_hits;hits_per_frame_intra;hits_per_frame_inter;p_pair_intra;p_pair_inter;p_intra_over_p_inter;pairs_ever_in_contact_intra;pairs_ever_in_contact_inter;closest_intra_A;closest_inter_A
monoblock-pre-noxl-c010-f10-t600;monoblock;720;0,01;0,1;12,0;5714;8571;2857;1910;30405;325;10105;5492;0,3521;1,77;0,96;0,00093;3e-05;31,0;1337;3983;5,67;5,63
monoblock-pre-noxl-c010-f20-t600;monoblock;720;0,01;0,2;12,0;5714;8571;2857;1849;29516;1275;10281;4599;0,3091;1,8;0,8;0,00097;3e-05;32,3333;1286;3048;5,8;5,65
monoblock-pre-noxl-c010-f30-t600;monoblock;720;0,01;0,3;12,0;5714;8571;2857;1747;27967;2926;9472;4018;0,2979;1,66;0,7;0,00095;3e-05;31,6667;1116;2282;5,78;5,44
monoblock-pre-noxl-c020-f10-t600;monoblock;720;0,02;0,1;12,0;5714;8571;2857;1908;30407;325;9769;13218;0,575;1,71;2,31;0,0009;8e-05;11,25;1271;7709;5,44;5,62
monoblock-pre-noxl-c020-f20-t600;monoblock;720;0,02;0,2;12,0;5714;8571;2857;1843;29522;1275;11438;12841;0,5289;2,0;2,25;0,00109;8e-05;13,625;1215;5969;5,62;5,78
monoblock-pre-noxl-c020-f30-t600;monoblock;720;0,02;0,3;12,0;5714;8571;2857;1738;27976;2926;11029;11685;0,5144;1,93;2,04;0,00111;7e-05;15,8571;1094;4640;5,61;5,66
tetrablock-pre-noxl-c010-f10-t600;tetrablock;1040;0,01;0,1;12,0;5714;8571;2857;1907;30408;325;7987;4120;0,3403;1,4;0,72;0,00073;2e-05;36,5;1035;3076;5,73;5,63
tetrablock-pre-noxl-c010-f20-t600;tetrablock;1040;0,01;0,2;12,0;5714;8571;2857;1855;29510;1275;8940;4257;0,3226;1,56;0,75;0,00084;3e-05;28,0;1225;2658;5,72;5,79
tetrablock-pre-noxl-c010-f30-t600;tetrablock;1040;0,01;0,3;12,0;5714;8571;2857;1750;27964;2926;7569;3462;0,3138;1,32;0,61;0,00076;2e-05;38,0;930;1705;5,77;5,63
tetrablock-pre-noxl-c020-f10-t600;tetrablock;1040;0,02;0,1;12,0;5714;8571;2857;1906;30409;325;7742;9288;0,5454;1,35;1,63;0,00071;5e-05;14,2;916;5526;5,55;5,46
tetrablock-pre-noxl-c020-f20-t600;tetrablock;1040;0,02;0,2;12,0;5714;8571;2857;1847;29518;1275;9963;10953;0,5237;1,74;1,92;0,00094;6e-05;15,6667;1092;4726;5,63;5,55
tetrablock-pre-noxl-c020-f30-t600;tetrablock;1040;0,02;0,3;12,0;5714;8571;2857;1744;27970;2926;9511;10798;0,5317;1,66;1,89;0,00095;7e-05;13,5714;985;3676;5,66;5,71
triblock-32-pre-noxl-c010-f10-t600;triblock-32;880;0,01;0,1;12,0;5714;8571;2857;1906;30409;325;8412;4967;0,3713;1,47;0,87;0,00077;3e-05;25,6667;1088;3672;5,52;5,67
triblock-32-pre-noxl-c010-f20-t600;triblock-32;880;0,01;0,2;12,0;5714;8571;2857;1850;29515;1275;9179;4048;0,306;1,61;0,71;0,00087;2e-05;43,5;1189;2567;5,75;5,68
triblock-32-pre-noxl-c010-f30-t600;triblock-32;880;0,01;0,3;12,0;5714;8571;2857;1752;27962;2926;9073;4267;0,3199;1,59;0,75;0,00091;3e-05;30,3333;1153;2331;5,61;5,67
triblock-32-pre-noxl-c020-f10-t600;triblock-32;880;0,02;0,1;12,0;5714;8571;2857;1907;30408;325;8878;10154;0,5335;1,55;1,78;0,00081;6e-05;13,5;1037;5983;5,64;5,8
triblock-32-pre-noxl-c020-f20-t600;triblock-32;880;0,02;0,2;12,0;5714;8571;2857;1853;29512;1275;9790;11622;0,5428;1,71;2,03;0,00092;7e-05;13,1429;1084;5353;5,68;5,39
triblock-32-pre-noxl-c020-f30-t600;triblock-32;880;0,02;0,3;12,0;5714;8571;2857;1757;27957;2926;9527;11628;0,5497;1,67;2,04;0,00095;7e-05;13,5714;1059;4422;5,62;5,58
triblock-64-pre-noxl-c010-f10-t600;triblock-64;1040;0,01;0,1;12,0;5714;8571;2857;1909;30406;325;8082;4136;0,3385;1,41;0,72;0,00074;2e-05;37,0;1009;3081;5,69;5,78
triblock-64-pre-noxl-c010-f20-t600;triblock-64;1040;0,01;0,2;12,0;5714;8571;2857;1858;29507;1275;9426;4648;0,3303;1,65;0,81;0,00089;3e-05;29,6667;1229;2711;5,5;5,72
triblock-64-pre-noxl-c010-f30-t600;triblock-64;1040;0,01;0,3;12,0;5714;8571;2857;1756;27958;2926;7490;3617;0,3257;1,31;0,63;0,00075;2e-05;37,5;1001;1968;5,67;5,89
triblock-64-pre-noxl-c020-f10-t600;triblock-64;1040;0,02;0,1;12,0;5714;8571;2857;1909;30406;325;8936;10085;0,5302;1,56;1,76;0,00082;6e-05;13,6667;1025;5464;5,63;5,56
triblock-64-pre-noxl-c020-f20-t600;triblock-64;1040;0,02;0,2;12,0;5714;8571;2857;1843;29522;1275;8743;10703;0,5504;1,53;1,87;0,00083;6e-05;13,8333;1017;5011;5,85;5,69
triblock-64-pre-noxl-c020-f30-t600;triblock-64;1040;0,02;0,3;12,0;5714;8571;2857;1762;27952;2926;10711;10867;0,5036;1,87;1,9;0,00106;7e-05;15,1429;1058;3928;5,44;5,57
