run;family;residues_per_chain;concentration_chains_nm2;preattached_fraction;cutoff_A;frames_analysed;frames_total;first_frame;pairs_intra;pairs_inter;pairs_dropped_both_pinned;hits_intra;hits_inter;inter_share_of_hits;hits_per_frame_intra;hits_per_frame_inter;p_pair_intra;p_pair_inter;p_intra_over_p_inter;pairs_ever_in_contact_intra;pairs_ever_in_contact_inter;closest_intra_A;closest_inter_A
monoblock-pre-noxl-c010-f10-t600;monoblock;720;0,01;0,1;12,0;8494;8571;77;1910;30405;325;14950;8085;0,351;1,76;0,95;0,00092;3e-05;30,6667;1449;5394;5,67;5,63
monoblock-pre-noxl-c010-f20-t600;monoblock;720;0,01;0,2;12,0;6982;8571;1589;1849;29516;1275;12619;5570;0,3062;1,81;0,8;0,00098;3e-05;32,6667;1337;3482;5,8;5,65
monoblock-pre-noxl-c010-f30-t600;monoblock;720;0,01;0,3;12,0;3920;8571;4651;1747;27967;2926;6559;2744;0,295;1,67;0,7;0,00096;3e-05;32,0;1034;1730;5,78;5,44
monoblock-pre-noxl-c020-f10-t600;monoblock;720;0,02;0,1;12,0;8571;8571;0;1908;30407;325;14998;19548;0,5659;1,75;2,28;0,00092;8e-05;11,5;1419;10010;5,44;5,62
monoblock-pre-noxl-c020-f20-t600;monoblock;720;0,02;0,2;12,0;8571;8571;0;1843;29522;1275;16912;19234;0,5321;1,97;2,24;0,00107;8e-05;13,375;1296;7374;5,59;5,68
monoblock-pre-noxl-c020-f30-t600;monoblock;720;0,02;0,3;12,0;8494;8571;77;1738;27976;2926;16307;17326;0,5151;1,92;2,04;0,0011;7e-05;15,7143;1182;5549;5,61;5,66
tetrablock-pre-noxl-c010-f10-t600;tetrablock;1040;0,01;0,1;12,0;8571;8571;0;1907;30408;325;12141;6151;0,3363;1,42;0,72;0,00074;2e-05;37,0;1146;4244;5,73;5,63
tetrablock-pre-noxl-c010-f20-t600;tetrablock;1040;0,01;0,2;12,0;8378;8571;193;1855;29510;1275;13254;6139;0,3166;1,58;0,73;0,00085;2e-05;42,5;1311;3444;5,49;5,79
tetrablock-pre-noxl-c010-f30-t600;tetrablock;1040;0,01;0,3;12,0;5238;8571;3333;1750;27964;2926;6964;3186;0,3139;1,33;0,61;0,00076;2e-05;38,0;910;1611;5,77;5,63
tetrablock-pre-noxl-c020-f10-t600;tetrablock;1040;0,02;0,1;12,0;7719;8571;852;1906;30409;325;10515;12438;0,5419;1,36;1,61;0,00071;5e-05;14,2;979;6785;5,55;5,46
tetrablock-pre-noxl-c020-f20-t600;tetrablock;1040;0,02;0,2;12,0;5238;8571;3333;1847;29518;1275;9156;10061;0,5235;1,75;1,92;0,00095;7e-05;13,5714;1082;4500;5,63;5,55
tetrablock-pre-noxl-c020-f30-t600;tetrablock;1040;0,02;0,3;12,0;7874;8571;697;1744;27970;2926;13077;14808;0,531;1,66;1,88;0,00095;7e-05;13,5714;1032;4311;5,49;5,56
triblock-32-pre-noxl-c010-f10-t600;triblock-32;880;0,01;0,1;12,0;8571;8571;0;1906;30409;325;12493;7343;0,3702;1,46;0,86;0,00076;3e-05;25,3333;1210;5006;5,52;5,67
triblock-32-pre-noxl-c010-f20-t600;triblock-32;880;0,01;0,2;12,0;8571;8571;0;1850;29515;1275;13800;6359;0,3154;1,61;0,74;0,00087;3e-05;29,0;1292;3523;5,75;5,68
triblock-32-pre-noxl-c010-f30-t600;triblock-32;880;0,01;0,3;12,0;8571;8571;0;1752;27962;2926;13542;6460;0,323;1,58;0,75;0,0009;3e-05;30,0;1228;2966;5,61;5,67
triblock-32-pre-noxl-c020-f10-t600;triblock-32;880;0,02;0,1;12,0;6207;8571;2364;1907;30408;325;9620;11057;0,5347;1,55;1,78;0,00081;6e-05;13,5;1053;6363;5,64;5,8
triblock-32-pre-noxl-c020-f20-t600;triblock-32;880;0,02;0,2;12,0;8416;8571;155;1853;29512;1275;14660;17045;0,5376;1,74;2,03;0,00094;7e-05;13,4286;1189;6771;5,65;5,39
triblock-32-pre-noxl-c020-f30-t600;triblock-32;880;0,02;0,3;12,0;8571;8571;0;1757;27957;2926;14399;17204;0,5444;1,68;2,01;0,00096;7e-05;13,7143;1145;5394;5,62;5,58
triblock-64-pre-noxl-c010-f10-t600;triblock-64;1040;0,01;0,1;12,0;8184;8571;387;1909;30406;325;11692;5801;0,3316;1,43;0,71;0,00075;2e-05;37,5;1078;4035;5,69;5,78
triblock-64-pre-noxl-c010-f20-t600;triblock-64;1040;0,01;0,2;12,0;8145;8571;426;1858;29507;1275;13318;6474;0,3271;1,64;0,79;0,00088;3e-05;29,3333;1301;3402;5,5;5,72
triblock-64-pre-noxl-c010-f30-t600;triblock-64;1040;0,01;0,3;12,0;7021;8571;1550;1756;27958;2926;9200;4334;0,3202;1,31;0,62;0,00075;2e-05;37,5;1048;2213;5,67;5,89
triblock-64-pre-noxl-c020-f10-t600;triblock-64;1040;0,02;0,1;12,0;3339;8571;5232;1909;30406;325;5135;5947;0,5366;1,54;1,78;0,00081;6e-05;13,5;901;3741;5,63;5,56
triblock-64-pre-noxl-c020-f20-t600;triblock-64;1040;0,02;0,2;12,0;8533;8571;38;1843;29522;1275;13064;16105;0,5521;1,53;1,89;0,00083;6e-05;13,8333;1107;6223;5,59;5,66
triblock-64-pre-noxl-c020-f30-t600;triblock-64;1040;0,02;0,3;12,0;8571;8571;0;1762;27952;2926;15870;16569;0,5108;1,85;1,93;0,00105;7e-05;15,0;1149;4946;5,44;5,53
