run;family;residues_per_chain;concentration_chains_nm2;preattached_fraction;cutoff_A;frames_analysed;frames_total;first_frame;pairs_intra;pairs_inter;pairs_dropped_both_pinned;hits_intra;hits_inter;inter_share_of_hits;hits_per_frame_intra;hits_per_frame_inter;p_pair_intra;p_pair_inter;p_intra_over_p_inter;pairs_ever_in_contact_intra;pairs_ever_in_contact_inter;closest_intra_A;closest_inter_A
lysarr01-blk4-nterm;lysarr01-blk4-nterm;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;72711;1131;0,0153;16,96;0,26;0,18242;0,00015;1216,1333;93;164;5,52;5,84
lysarr02-blk4-mid;lysarr02-blk4-mid;;0,04;0,3;12,0;4286;5714;1428;92;1753;171;71022;456;0,0064;16,57;0,11;0,18012;6e-05;3002,0;92;109;5,61;5,83
lysarr03-blk4-cterm;lysarr03-blk4-cterm;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;78962;761;0,0095;18,42;0,18;0,1981;0,0001;1981,0;93;129;5,63;6,07
lysarr04-blk22-near;lysarr04-blk22-near;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;53314;1193;0,0219;12,44;0,28;0,13375;0,00016;835,9375;93;237;5,47;5,69
lysarr05-blk22-mid;lysarr05-blk22-mid;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;9492;1377;0,1267;2,21;0,32;0,02381;0,00018;132,2778;70;482;5,75;5,94
lysarr06-blk22-far;lysarr06-blk22-far;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;50410;945;0,0184;11,76;0,22;0,12647;0,00013;972,8462;68;538;5,43;6,06
lysarr07-blk31-nc;lysarr07-blk31-nc;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;48626;1140;0,0229;11,35;0,27;0,12199;0,00015;813,2667;68;589;5,56;5,79
lysarr08-blk31-mid;lysarr08-blk31-mid;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;46909;1331;0,0276;10,94;0,31;0,11768;0,00018;653,7778;86;515;5,56;5,89
lysarr09-blk13-nc;lysarr09-blk13-nc;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;55829;698;0,0123;13,03;0,16;0,14006;9e-05;1556,2222;70;366;5,57;6,34
lysarr10-blk211-n;lysarr10-blk211-n;;0,04;0,3;12,0;4286;5714;1428;92;1753;171;21324;1998;0,0857;4,98;0,47;0,05408;0,00027;200,2963;69;887;5,5;6,0
lysarr11-blk211-c;lysarr11-blk211-c;;0,04;0,3;12,0;4286;5714;1428;92;1753;171;24671;2064;0,0772;5,76;0,48;0,06257;0,00027;231,7407;68;923;5,49;5,77
lysarr12-even-4;lysarr12-even-4;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;312;2095;0,8704;0,07;0,49;0,00078;0,00028;2,7857;63;877;6,19;5,86
lysarr13-even-4-wide;lysarr13-even-4-wide;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;403;2378;0,8551;0,09;0,55;0,00101;0,00032;3,1562;76;1002;6,43;5,99
lysarr14-tight-n;lysarr14-tight-n;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;17691;2512;0,1243;4,13;0,59;0,04438;0,00033;134,4848;93;420;5,75;5,8
lysarr15-tight-mid;lysarr15-tight-mid;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;16557;2585;0,135;3,86;0,6;0,04154;0,00034;122,1765;93;410;5,62;5,78
lysarr16-tight-c;lysarr16-tight-c;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;21155;3183;0,1308;4,94;0,74;0,05307;0,00042;126,3571;93;402;5,67;5,48
lysarr17-pairsplit;lysarr17-pairsplit;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;41892;998;0,0233;9,77;0,23;0,1051;0,00013;808,4615;57;524;5,66;5,88
lysarr18-blocka;lysarr18-blocka;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;3689;3333;0,4747;0,86;0,78;0,00925;0,00044;21,0227;92;732;5,84;5,72
lysarr19-blockb;lysarr19-blockb;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;2332;3055;0,5671;0,54;0,71;0,00585;0,00041;14,2683;90;749;5,86;5,65
lysarr20-blockc;lysarr20-blockc;;0,04;0,3;12,0;4286;5714;1428;93;1752;171;3528;4072;0,5358;0,82;0,95;0,00885;0,00054;16,3889;92;820;5,72;5,7
