run;family;residues_per_chain;concentration_chains_nm2;preattached_fraction;cutoff_A;frames_analysed;frames_total;first_frame;pairs_intra;pairs_inter;pairs_dropped_both_pinned;hits_intra;hits_inter;inter_share_of_hits;hits_per_frame_intra;hits_per_frame_inter;p_pair_intra;p_pair_inter;p_intra_over_p_inter;pairs_ever_in_contact_intra;pairs_ever_in_contact_inter;closest_intra_A;closest_inter_A
monoblock-brush-noxl-mm025;monoblock;720;0,024996;;12,0;7143;8571;1428;1920;30720;0;10813;16009;0,5969;1,51;2,24;0,00079;7e-05;11,2857;1232;10263;5,56;5,61
monoblock-pre-noxl-mm025-f20;monoblock;720;0,024996;0,2;12,0;7143;8571;1428;1857;29508;1275;14900;22488;0,6015;2,09;3,15;0,00112;0,00011;10,1818;1248;8112;5,61;5,66
monoblock-pre-noxl-mm025-f30;monoblock;;0,024996;0,3;12,0;7143;8571;1428;1749;27965;2926;12201;17518;0,5895;1,71;2,45;0,00098;9e-05;10,8889;968;6031;5,55;5,61
tetrablock-brush-noxl-mm025;tetrablock;;0,017849;;12,0;7143;8571;1428;1920;30720;0;9876;9659;0,4944;1,38;1,35;0,00072;4e-05;18,0;1079;7010;5,77;5,7
tetrablock-pre-noxl-mm025-f20;tetrablock;;0,017849;0,2;12,0;7143;8571;1428;1851;29514;1275;12888;11666;0,4751;1,8;1,63;0,00097;6e-05;16,1667;1204;4978;5,59;5,65
tetrablock-pre-noxl-mm025-f30;tetrablock;;0,017849;0,3;12,0;7143;8571;1428;1747;27967;2926;10820;10265;0,4868;1,51;1,44;0,00087;5e-05;17,4;992;3703;5,53;5,6
triblock-32-brush-noxl-mm025;triblock-32;;0,020829;;12,0;7143;8571;1428;1920;30720;0;9260;11386;0,5515;1,3;1,59;0,00068;5e-05;13,6;943;7487;5,75;5,77
triblock-32-pre-noxl-mm025-f20;triblock-32;;0,020829;0,2;12,0;7143;8571;1428;1846;29519;1275;12271;16187;0,5688;1,72;2,27;0,00093;8e-05;11,625;1176;6639;5,6;5,58
triblock-32-pre-noxl-mm025-f30;triblock-32;;0,020829;0,3;12,0;7143;8571;1428;1758;27956;2926;13906;16810;0,5473;1,95;2,35;0,00111;8e-05;13,875;1161;5233;5,65;5,49
triblock-64-brush-noxl-mm025;triblock-64;;0,017849;;12,0;7143;8571;1428;1920;30720;0;9576;8242;0,4626;1,34;1,15;0,0007;4e-05;17,5;924;5625;5,64;5,68
triblock-64-pre-noxl-mm025-f20;triblock-64;;0,017849;0,2;12,0;7143;8571;1428;1843;29522;1275;12963;12144;0,4837;1,81;1,7;0,00098;6e-05;16,3333;1215;4761;5,74;5,73
triblock-64-pre-noxl-mm025-f30;triblock-64;;0,017849;0,3;12,0;7143;8571;1428;1752;27962;2926;12277;12972;0,5138;1,72;1,82;0,00098;6e-05;16,3333;1145;4421;5,69;5,48
