run;family;residues_per_chain;concentration_chains_nm2;preattached_fraction;cutoff_A;frames_analysed;frames_total;first_frame;pairs_intra;pairs_inter;pairs_dropped_both_pinned;hits_intra;hits_inter;inter_share_of_hits;hits_per_frame_intra;hits_per_frame_inter;p_pair_intra;p_pair_inter;p_intra_over_p_inter;pairs_ever_in_contact_intra;pairs_ever_in_contact_inter;closest_intra_A;closest_inter_A
monoblock-pre-noxl-c010;monoblock;720;0,01;0,2;12,0;1429;2857;1428;1847;29518;1275;2624;1119;0,299;1,84;0,78;0,00099;3e-05;33,0;852;959;5,94;5,95
monoblock-pre-noxl-c020;monoblock;720;0,02;0,2;12,0;1429;2857;1428;1855;29510;1275;2855;3357;0,5404;2,0;2,35;0,00108;8e-05;13,5;881;2314;5,57;5,78
monoblock-pre-noxl-c030;monoblock;720;0,029995;0,2;12,0;1429;2857;1428;1855;29510;1275;3203;5654;0,6384;2,24;3,96;0,00121;0,00013;9,3077;874;3432;5,6;5,62
tetrablock-pre-noxl-c010;tetrablock;1040;0,01;0,2;12,0;1429;2857;1428;1843;29522;1275;2373;843;0,2621;1,66;0,59;0,0009;2e-05;45,0;770;694;5,77;5,69
tetrablock-pre-noxl-c020;tetrablock;1040;0,02;0,2;12,0;1429;2857;1428;1840;29525;1275;2096;2809;0,5727;1,47;1,97;0,0008;7e-05;11,4286;659;1858;5,76;5,91
tetrablock-pre-noxl-c030;tetrablock;1040;0,029995;0,2;12,0;1429;2857;1428;1856;29509;1275;2387;4071;0,6304;1,67;2,85;0,0009;0,0001;9,0;659;2458;5,96;5,76
triblock-32-pre-noxl-c010;triblock-32;880;0,01;0,2;12,0;1429;2857;1428;1850;29515;1275;2417;1099;0,3126;1,69;0,77;0,00091;3e-05;30,3333;756;913;5,56;5,87
triblock-32-pre-noxl-c020;triblock-32;880;0,02;0,2;12,0;1429;2857;1428;1846;29519;1275;2576;2542;0,4967;1,8;1,78;0,00098;6e-05;16,3333;752;1764;5,72;5,71
triblock-32-pre-noxl-c030;triblock-32;880;0,029995;0,2;12,0;1429;2857;1428;1852;29513;1275;2623;4835;0,6483;1,84;3,38;0,00099;0,00011;9,0;721;2895;5,8;5,74
triblock-64-pre-noxl-c010;triblock-64;1040;0,01;0,2;12,0;1429;2857;1428;1850;29515;1275;2147;1076;0,3339;1,5;0,75;0,00081;3e-05;27,0;697;849;5,71;6,13
triblock-64-pre-noxl-c020;triblock-64;1040;0,02;0,2;12,0;1429;2857;1428;1858;29507;1275;2351;3221;0,5781;1,65;2,25;0,00089;8e-05;11,125;725;2165;5,66;5,57
triblock-64-pre-noxl-c030;triblock-64;1040;0,029995;0,2;12,0;1429;2857;1428;1847;29518;1275;2405;5144;0,6814;1,68;3,6;0,00091;0,00012;7,5833;662;2826;5,84;5,68
