run;family;residues_per_chain;concentration_chains_nm2;preattached_fraction;cutoff_A;frames_analysed;frames_total;first_frame;pairs_intra;pairs_inter;pairs_dropped_both_pinned;hits_intra;hits_inter;inter_share_of_hits;hits_per_frame_intra;hits_per_frame_inter;p_pair_intra;p_pair_inter;p_intra_over_p_inter;pairs_ever_in_contact_intra;pairs_ever_in_contact_inter;closest_intra_A;closest_inter_A
monoblock-pre-noxl-c010;monoblock;720;0,01;0,2;12,0;1488;2857;1369;1847;29518;1275;2742;1174;0,2998;1,84;0,79;0,001;3e-05;33,3333;866;994;5,94;5,95
monoblock-pre-noxl-c020;monoblock;720;0,02;0,2;12,0;2857;2857;0;1855;29510;1275;5872;6509;0,5257;2,06;2,28;0,00111;8e-05;13,875;1110;3841;5,57;5,78
monoblock-pre-noxl-c030;monoblock;720;0,029995;0,2;12,0;2728;2857;129;1855;29510;1275;6015;10860;0,6436;2,2;3,98;0,00119;0,00013;9,1538;1052;5264;5,6;5,62
tetrablock-pre-noxl-c010;tetrablock;1040;0,01;0,2;12,0;2496;2857;361;1843;29522;1275;4186;1551;0,2704;1,68;0,62;0,00091;2e-05;45,5;932;1166;5,77;5,69
tetrablock-pre-noxl-c020;tetrablock;1040;0,02;0,2;12,0;2857;2857;0;1840;29525;1275;4480;5442;0,5485;1,57;1,9;0,00085;6e-05;14,1667;916;3049;5,76;5,75
tetrablock-pre-noxl-c030;tetrablock;1040;0,029995;0,2;12,0;2702;2857;155;1856;29509;1275;4648;8008;0,6327;1,72;2,96;0,00093;0,0001;9,3;827;3954;5,75;5,76
triblock-32-pre-noxl-c010;triblock-32;880;0,01;0,2;12,0;2780;2857;77;1850;29515;1275;4708;2133;0,3118;1,69;0,77;0,00092;3e-05;30,6667;985;1567;5,56;5,83
triblock-32-pre-noxl-c020;triblock-32;880;0,02;0,2;12,0;2754;2857;103;1846;29519;1275;4933;4906;0,4986;1,79;1,78;0,00097;6e-05;16,1667;953;2963;5,72;5,71
triblock-32-pre-noxl-c030;triblock-32;880;0,029995;0,2;12,0;2457;2857;400;1852;29513;1275;4632;8061;0,6351;1,89;3,28;0,00102;0,00011;9,2727;885;4187;5,74;5,74
triblock-64-pre-noxl-c010;triblock-64;1040;0,01;0,2;12,0;2857;2857;0;1850;29515;1275;4322;2127;0,3298;1,51;0,74;0,00082;3e-05;27,3333;920;1529;5,71;6,13
triblock-64-pre-noxl-c020;triblock-64;1040;0,02;0,2;12,0;390;2857;2467;1858;29507;1275;667;780;0,539;1,71;2,0;0,00092;7e-05;13,1429;383;654;6,03;5,57
triblock-64-pre-noxl-c030;triblock-64;1040;0,029995;0,2;12,0;1152;2857;1705;1847;29518;1275;1952;4194;0,6824;1,69;3,64;0,00092;0,00012;7,6667;604;2424;5,84;5,68
